subject,model,mse,mae,r2,eval_mask_ratio,mamba_mse,mamba_mae,mamba_r2
s08,timesnet_ae,0.9447405338287354,0.6644744873046875,0.030078768730163574,0.15,0.2837759256362915,0.16096580028533936,0.7086604237556458
s09,timesnet_ae,0.9740033149719238,0.7006841897964478,0.09420526027679443,0.15,0.272389680147171,0.15419723093509674,0.7466855049133301
s10,timesnet_ae,1.0999982357025146,0.7020921111106873,0.14177453517913818,0.15,0.43301424384117126,0.19852255284786224,0.6621596217155457
s11,timesnet_ae,0.8410813808441162,0.6235150098800659,0.1257036328315735,0.15,0.39814087748527527,0.18261884152889252,0.5861362218856812
s12,timesnet_ae,1.0592947006225586,0.7668549418449402,0.036921799182891846,0.15,0.3106582760810852,0.161121666431427,0.7175590991973877
s13,timesnet_ae,0.9633330702781677,0.7184694409370422,0.076640784740448,0.15,0.4781239628791809,0.20641951262950897,0.5417159795761108
s14,timesnet_ae,1.0410690307617188,0.6796098351478577,0.11074948310852051,0.15,0.33952757716178894,0.14312459528446198,0.7099855542182922
s15,timesnet_ae,1075949.625,18.56232261657715,-8.702278137207031e-06,0.15,263709.90625,4.508518695831299,0.7549028396606445
s17,timesnet_ae,0.8202531337738037,0.6277548670768738,0.1187671422958374,0.15,0.2715635597705841,0.150855153799057,0.708247721195221
s18,timesnet_ae,3478.3671875,1.5870203971862793,0.0003057122230529785,0.15,1200.095703125,0.4338201582431793,0.655088484287262
s19,timesnet_ae,1.0412893295288086,0.7286962866783142,0.06854617595672607,0.15,0.4684049189090729,0.2055371105670929,0.5810025930404663
s20,timesnet_ae,3286017.25,37.4932975769043,1.0967254638671875e-05,0.15,0.46445125341415405,0.2103908210992813,0.9999998807907104
s21,timesnet_ae,1.0321385860443115,0.7266832590103149,0.07177180051803589,0.15,0.18129993975162506,0.11197930574417114,0.8369523882865906
s22,timesnet_ae,1.0944156646728516,0.6885769963264465,0.08556610345840454,0.15,0.2391660362482071,0.12808538973331451,0.8001659512519836
s23,timesnet_ae,1.4172874689102173,0.8510321974754333,0.04802525043487549,0.15,0.3276912569999695,0.1723528653383255,0.7798937559127808
s25,timesnet_ae,0.8657266497612,0.595838189125061,0.13448667526245117,0.15,0.22879178822040558,0.11694131046533585,0.7712645530700684
s26,timesnet_ae,0.966503918170929,0.6572797894477844,0.09246832132339478,0.15,0.39135631918907166,0.17626908421516418,0.632522702217102
s29,timesnet_ae,0.6713239550590515,0.557453453540802,0.09199261665344238,0.15,0.18820960819721222,0.12161824107170105,0.7454348206520081
s30,timesnet_ae,955393.625,13.889599800109863,-9.417533874511719e-06,0.15,525371.6875,7.45220947265625,0.4500941038131714
s31,timesnet_ae,0.9181451797485352,0.6925788521766663,0.14884459972381592,0.15,0.2562602162361145,0.1538209766149521,0.762437105178833
s32,timesnet_ae,53492.14453125,6.069511413574219,1.049041748046875e-05,0.15,2915.499755859375,0.4933232069015503,0.9454972743988037
